Area,Room,Parking,Warehouse,Elevator,Address,Price,Price(USD)
63,1,True,True,True,Shahran,1850000000.0,61666.61467691889
60,1,True,True,True,Shahran,1850000000.0,61666.522765010035
79,2,True,True,True,Pardis,550000000.0,18333.52863034861
95,2,True,True,True,Shahrake Qods,902500000.0,30083.3401618975
123,2,True,True,True,Shahrake Gharb,7000000000.0,233333.39602536682
70,2,True,True,False,North Program Organization,2050000000.0,68333.34044781403
87,2,True,True,True,Pardis,600000000.0,19999.969288391145
59,1,True,True,True,Shahran,2150000000.0,71666.69232771259
54,2,True,True,False,Andisheh,493000000.0,16433.27749864093
71,1,True,True,True,West Ferdows Boulevard,2370000000.0,78999.92278348944
68,2,True,True,True,West Ferdows Boulevard,2450000000.0,81666.74832486233
64,1,True,True,True,Narmak,2100000000.0,69999.84915098053
54,1,False,True,True,Narmak,1690000000.0,56333.623893832315
136,3,True,True,True,Saadat Abad,11000000000.0,366666.7171968426
95,2,True,True,True,Zafar,5000000000.0,166666.60022067002
63,1,False,True,False,Islamshahr,570000000.0,19000.1344548829
155,3,True,True,True,Narmak,6700000000.0,223333.25643867932
64,2,False,True,False,Pirouzi,1450000000.0,48333.29852268778
140,3,True,True,True,West Ferdows Boulevard,6400000000.0,213333.35326519667
42,1,False,True,False,Pirouzi,1390000000.0,46333.11840444197
93,2,True,True,True,Shahrake Gharb,7000000000.0,233333.5153850082
87,2,True,True,True,Shahrake Shahid Bagheri,2500000000.0,83333.34633020041
65,1,True,True,True,Shahran,1880000000.0,62666.570390194574
99,2,True,True,True,Moniriyeh,2277000000.0,75899.88124447662
105,2,True,True,True,Saadat Abad,7150000000.0,238333.55337012303
160,3,True,True,True,Velenjak,14945000000.0,498166.6073502031
77,2,True,True,True,Amirieh,1771000000.0,59033.4241679377
123,2,True,True,True,Pirouzi,4059000000.0,135300.0641769133
110,2,True,True,True,Southern Janatabad,630000000.0,21000.01191237695
100,2,True,True,True,West Ferdows Boulevard,3200000000.0,106666.70787941666
90,2,False,True,False,Salsabil,1500000000.0,49999.8675971031
49,1,True,True,True,West Ferdows Boulevard,2200000000.0,73333.23028267652
96,2,True,True,True,Zargandeh,7872000000.0,262399.9917831629
67,2,True,True,False,Feiz Garden,2350000000.0,78333.3898796179
68,2,True,True,True,West Ferdows Boulevard,2500000000.0,83333.37487800325
62,1,True,False,True,Water Organization,2150000000.0,71666.81711231986
55,1,True,True,True,West Ferdows Boulevard,2150000000.0,71666.76409301689
110,2,True,True,True,West Ferdows Boulevard,3750000000.0,125000.0544101691
129,2,True,True,True,West Ferdows Boulevard,5250000000.0,174999.9450815974
109,2,True,True,True,West Ferdows Boulevard,4830000000.0,160999.9468590221
58,1,True,True,True,Saadat Abad,3400000000.0,113333.26570769373
55,1,True,True,True,Saadat Abad,3850000000.0,128333.58449746305
150,2,False,True,True,Shahrake Qods,1200000000.0,40000.02144266223
60,2,True,True,True,,2650000000.0,88333.38236258399
130,3,True,True,False,ShahrAra,5000000000.0,166666.7442388781
88,2,True,True,True,Gisha,4750000000.0,158333.29646949912
51,1,True,True,True,Gisha,2980000000.0,99333.38758514423
113,3,True,True,False,Shahrake Gharb,7000000000.0,233333.24974238782
110,2,True,True,True,Ray,2035000000.0,67833.33121174441
60,1,True,True,True,Abbasabad,2460000000.0,81999.96460399845
98,2,True,True,True,Pardis,540000000.0,18000.03594370404
62,2,False,False,True,Ostad Moein,1450000000.0,48333.349457582786
150,3,True,True,True,Farmanieh,10000000000.0,333333.1490016313
75,2,False,False,False,Parand,635000000.0,21166.575490826104
61,1,True,True,False,Punak,2030000000.0,67666.58100899111
61,1,True,True,False,Punak,2030000000.0,67666.68791223265
72,2,True,True,True,Shahran,2350000000.0,78333.2249391442
100,2,True,True,True,Qasr-od-Dasht,3000000000.0,99999.8663404732
122,3,True,True,True,Aqdasieh,7200000000.0,239999.95591505765
215,3,True,True,True,Pakdasht,1750000000.0,58333.27943989051
101,2,True,True,True,Railway,3300000000.0,109999.79176209976
67,2,True,True,True,Punak,2800000000.0,93333.26175722621
72,2,True,True,False,Punak,2200000000.0,73333.23602095318
63,1,True,True,False,Punak,2200000000.0,73333.45299522542
75,2,True,True,False,Punak,2200000000.0,73333.32679656862
109,2,True,True,True,Shahran,3500000000.0,116666.86763883624
122,2,True,True,True,Aqdasieh,7000000000.0,233333.42902742003
70,1,True,True,True,Central Janatabad,3100000000.0,103333.23728320574
60,1,True,True,True,West Ferdows Boulevard,2450000000.0,81666.66382519406
53,1,True,True,False,East Ferdows Boulevard,1920000000.0,63999.92305789209
90,1,False,True,False,Pakdasht KhatunAbad,850000000.0,28333.403651129494
72,2,True,True,True,Amirieh,1650000000.0,54999.97943375701
74,2,True,True,True,Amirieh,1700000000.0,56666.63041641373
88,3,False,False,True,Parand,560000000.0,18666.695504170657
63,1,True,True,True,Punak,2150000000.0,71666.59836319476
114,3,True,True,True,Sattarkhan,5500000000.0,183333.29516346403
151,3,True,True,True,Saadat Abad,10200000000.0,340000.0148415864
42,1,True,False,True,Shahran,1760000000.0,58666.853686986695
74,2,True,True,True,Amirieh,1700000000.0,56666.79231146591
88,3,False,False,True,Parand,560000000.0,18666.76499003076
63,1,True,True,True,Punak,2150000000.0,71666.28770429852
114,3,True,True,True,Sattarkhan,5500000000.0,183333.37262043587
151,3,True,True,True,Saadat Abad,10200000000.0,340000.1544925966
42,1,True,False,True,Shahran,1760000000.0,58666.783408291
300,3,True,True,False,Baghestan,1500000000.0,49999.953866932185
110,2,True,True,True,West Ferdows Boulevard,3730000000.0,124333.34869160457
100,2,False,False,False,Shahrake Qods,620000000.0,20666.628872090747
140,1,False,False,False,Shahryar,580000000.0,19333.276502943387
70,2,True,True,True,Northern Janatabad,3050000000.0,101666.69844648971
60,2,True,True,False,West Ferdows Boulevard,2000000000.0,66666.54974060865
76,2,True,True,True,North Program Organization,2600000000.0,86666.65541131822
148,3,True,True,True,Daryan No,5990000000.0,199666.63973786074
75,2,True,True,True,North Program Organization,2300000000.0,76666.6393875119
40,1,True,True,False,Pirouzi,1300000000.0,43333.320398057745
65,2,True,True,True,Southern Program Organization,2270000000.0,75666.7674543142
140,3,True,True,True,Rudhen,4000000000.0,133333.13789509304
110,2,True,True,True,West Pars,4000000000.0,133333.30985949613
70,2,True,False,True,Afsarieh,1650000000.0,55000.115370253036
128,3,True,True,True,Marzdaran,6700000000.0,223333.30843157475
94,2,True,True,True,Parand,580000000.0,19333.35681841729
67,1,True,True,True,Punak,2300000000.0,76666.6875239196
75,1,True,True,True,Shahrake Qods,650000000.0,21666.585816835508
130,2,True,True,True,Dorous,16900000000.0,563333.3872881093
40,0,False,False,False,Shahrake Qods,248000000.0,8266.695611317504
97,2,True,True,True,Pardis,510000000.0,16999.938205220475
110,2,True,True,True,Shahran,3850000000.0,128333.47732003304
150,3,True,True,True,Sadeghieh,6000000000.0,200000.12889120716
75,2,False,False,False,Chahardangeh,780000000.0,25999.907866049474
137,3,True,True,True,ShahrAra,7200000000.0,240000.05983244002
85,2,True,True,True,Parand,410000000.0,13666.643085281736
68,2,False,True,False,Pakdasht,430000000.0,14333.335306584344
78,2,False,True,False,Baqershahr,800000000.0,26666.65954792451
85,2,True,True,True,Parand,545000000.0,18166.625510219852
100,2,True,True,False,Parand,1280000000.0,42666.72758211251
71,2,True,True,True,Punak,2800000000.0,93333.29150995304
140,3,True,True,True,Gisha,11200000000.0,373333.25766113284
136,3,True,True,False,Parand,750000000.0,25000.005773388362
48,1,False,False,False,Jeyhoon,850000000.0,28333.27978652855
100,2,True,True,True,Lavizan,3300000000.0,109999.95251708705
82,2,True,False,True,Shams Abad,3280000000.0,109333.30352904323
120,3,True,True,True,Fatemi,4800000000.0,159999.97235445122
139,3,True,True,True,Gisha,7300000000.0,243333.35481506333
110,3,True,True,True,Keshavarz Boulevard,3950000000.0,131666.79138025423
78,2,False,False,True,Parand,370000000.0,12333.519545298544
79,2,False,False,False,Baghestan,750000000.0,24999.87079591832
