Unnamed: 0,car_name,price,kms_driven,year,engine_cc,seats,fuel_type_Diesel,fuel_type_Electric,fuel_type_Lpg,fuel_type_Petrol,transmission_Manual,ownership_1st Owner,ownership_2nd Owner,ownership_3rd Owner,ownership_4th Owner,ownership_5th Owner
5013,1231,6.31 Lakh,"1,09,863 kms",0.3932277985732975,998 cc,5 Seats,True,False,False,False,True,False,True,False,False,False
4462,1403,3.08 Lakh,"80,000 kms",0.3932277985732975,624 cc,5 Seats,False,False,False,True,False,False,False,True,False,False
79,693,4.65 Lakh,"23,000 kms",-0.3705939889526643,1197 cc,5 Seats,False,False,False,True,True,True,False,False,False,False
5343,268,2.60 Lakh,"1,50,000 kms",-0.6252012514613183,2179 cc,7 Seats,True,False,False,False,True,True,False,False,False,False
1223,1096,7.25 Lakh,"44,000 kms",0.1386205360646435,1399 cc,5 Seats,False,False,False,False,True,True,False,False,False,False
3071,451,1.75 Lakh,"30,000 kms",-0.6252012514613183,796 cc,5 Seats,False,False,False,True,True,True,False,False,False,False
889,615,3.75 Lakh,"1,10,000 kms",-0.3705939889526643,1248 cc,5 Seats,False,False,False,True,False,True,False,False,False,False
5102,330,4.17 Lakh,"70,132 kms",-0.8798085139699723,1248 cc,5 Seats,False,False,False,True,True,False,True,False,False,False
3725,1247,2.75 Lakh,"93,688 kms",-0.3705939889526643,2143 cc,5 Seats,False,False,False,True,True,True,False,False,False,False
1860,1138,9.45 Lakh,"15,000 kms",1.1570495860992591,1248 cc,5 Seats,False,False,False,True,True,True,False,False,False,False
1870,432,9.99 Lakh,"32,000 kms",0.3932277985732975,936 cc,5 Seats,False,False,False,True,False,False,True,False,False,False
4840,1183,4.20 Lakh,"67,715 kms",-0.1159867264440103,1497 cc,5 Seats,False,False,False,True,True,True,False,False,False,False
3745,972,1.88 Lakh,"4,972 kms",-0.1159867264440103,1198 cc,5 Seats,False,False,False,True,True,True,False,False,False,False
2867,1247,2.30 Lakh,"70,600 kms",-0.6252012514613183,1499 cc,5 Seats,False,False,False,True,True,True,False,False,False,False
711,376,5.50 Lakh,"48,230 kms",0.3932277985732975,998 cc,5 Seats,False,False,False,True,True,True,False,False,False,False
33,454,2.93 Lakh,"51,085 kms",0.3932277985732975,814 cc,5 Seats,False,False,False,True,True,True,False,False,False,False
2173,893,5.30 Lakh,"86,261 kms",-0.6252012514613183,1997 cc,5 Seats,True,False,False,False,False,False,False,True,False,False
426,1255,2.25 Lakh,"46,000 kms",-1.898237564004588,1061 cc,5 Seats,False,False,True,False,True,False,True,False,False,False
2968,467,5.83 Lakh,"58,437 kms",-0.3705939889526643,998 cc,5 Seats,True,False,False,False,True,False,True,False,False,False
705,906,15.45 Lakh,"28,000 kms",1.1570495860992591,1364 cc,4 Seats,True,False,False,False,True,True,False,False,False,False
2275,1016,7.50 Lakh,"35,000 kms",1.1570495860992591,1396 cc,5 Seats,False,False,False,True,True,True,False,False,False,False
8,346,6.99 Lakh,"21,429 kms",-0.1159867264440103,1497 cc,5 Seats,False,False,False,True,False,True,False,False,False,False
3315,1683,4.31 Lakh,"65,938 kms",0.3932277985732975,796 cc,5 Seats,False,False,False,True,True,True,False,False,False,False
447,647,7.75 Lakh,"80,000 kms",0.6478350610819515,1197 cc,5 Seats,False,False,False,True,True,True,False,False,False,False
4823,1207,2.14 Lakh,"2,30,510 kms",-1.1344157764786262,1582 cc,5 Seats,True,False,False,False,True,True,False,False,False,False
1075,112,2.55 Lakh,"37,275 kms",-0.3705939889526643,1950 cc,5 Seats,False,False,False,True,True,True,False,False,False,False
3785,972,2.02 Lakh,"48,816 kms",-0.1159867264440103,1248 cc,5 Seats,False,False,False,True,True,True,False,False,False,False
4890,1767,3.72 Lakh,"1,96,320 kms",-1.3890230389872802,1248 cc,5 Seats,True,False,False,False,True,False,True,False,False,False
418,1775,6.85 Lakh,"2,90,000 kms",-1.1344157764786262,2494 cc,7 Seats,True,False,False,False,True,False,False,True,False,False
1869,1522,9.75 Lakh,"93,500 kms",0.9024423235906056,998 cc,5 Seats,True,False,False,False,False,True,False,False,False,False
3182,1453,2.97 Lakh,"52,698 kms",0.3932277985732975,799 cc,5 Seats,False,False,False,True,False,True,False,False,False,False
1193,94,74.50 Lakh,"7,600 kms",1.6662641111165672,1798 cc,5 Seats,False,False,False,True,False,True,False,False,False,False
1729,283,8 Lakh,"34,392 kms",0.9024423235906056,1197 cc,5 Seats,False,False,False,True,False,True,False,False,False,False
230,1489,1.10 Lakh,"1,10,000 kms",-1.643630301495934,1198 cc,5 Seats,False,False,False,True,True,False,False,True,False,False
1020,1550,3.93 Lakh,"1,34,521 kms",-1.1344157764786262,1995 cc,5 Seats,True,False,False,False,False,False,True,False,False,False
3139,137,2.70 Lakh,"1,10,000 kms",0.3932277985732975,796 cc,5 Seats,False,False,False,True,True,False,True,False,False,False
2664,1016,6.12 Lakh,"57,628 kms",1.1570495860992591,1197 cc,5 Seats,False,False,False,True,True,True,False,False,False,False
5429,552,9.50 Lakh,"15,000 kms",1.6662641111165672,936 cc,7 Seats,False,False,False,True,True,True,False,False,False,False
2223,1541,3.60 Lakh,"1,03,000 kms",-0.8798085139699723,1373 cc,7 Seats,True,False,False,False,True,True,False,False,False,False
