obj_ID,alpha,delta,u,g,r,i,z,run_ID,rerun_ID,cam_col,field_ID,spec_obj_ID,class,redshift,plate,MJD,fiber_ID
1.2376609613277432e+18,135.6891066036,32.4946318397087,23.87882,22.2753,20.39501,19.16573,18.79371,3606,301,2,79,6.543777369295182e+18,0,0.6347936,5812,56354,171
1.237664879951151e+18,144.826100550256,31.2741848944939,24.77759,22.83188,22.58444,21.16812,21.61427,4518,301,5,119,1.1760142036707334e+19,0,0.779136,10445,58158,427
1.2376609613304302e+18,142.188789562506,35.5824441819976,25.26307,22.66389,20.60976,19.34857,18.94827,3606,301,2,120,5.152200256025549e+18,0,0.6441945,4576,55592,299
1.237663478724298e+18,338.741037753146,-0.402827574587482,22.13682,23.77656,21.61162,20.50454,19.2501,4192,301,3,214,1.030107141295442e+19,0,0.9323456,9149,58039,775
1.237680272041378e+18,345.282593210935,21.1838656010284,19.43718,17.58028,16.49747,15.97711,15.54461,8102,301,3,137,6.891864880783317e+18,0,0.1161227,6121,56187,842
1.237680272039609e+18,340.995120509191,20.5894762801019,23.48827,23.33776,21.32195,20.25615,19.54544,8102,301,3,110,5.658976714552008e+18,1,1.424659,5026,55855,741
1.237678858481566e+18,23.2349264301638,11.4181876197835,21.46973,21.17624,20.92829,20.60826,20.42573,7773,301,2,462,1.2462617271914e+19,1,0.5864546,11069,58456,113
1.2376788584739635e+18,5.43317603738404,12.0651859913473,22.24979,22.02172,20.34126,19.48794,18.84999,7773,301,2,346,6.961443351364393e+18,0,0.477009,6183,56210,15
1.2376614353866598e+18,200.290475389797,47.199402322911,24.40286,22.35669,20.61032,19.4649,18.95852,3716,301,5,108,7.45928462718811e+18,0,0.660012,6625,56386,719
1.237670961088168e+18,39.1496905996484,28.1028416109607,21.74669,20.03493,19.17553,18.81823,18.65422,5934,301,4,122,2.7517632124824064e+18,2,-7.895373e-06,2444,54082,232
1.2376802720341699e+18,328.092076173419,18.2203104791579,25.77163,22.52042,20.63884,19.78071,19.05765,8102,301,3,27,5.652161941432719e+18,0,0.4595958,5020,55852,525
1.2376623410881503e+18,243.986637469699,25.7382804319961,23.76761,23.79969,20.98318,19.80745,19.45579,3927,301,4,112,5.322363975769545e+18,0,0.5914091,4727,55693,855
1.2376805077212204e+18,345.801874402853,32.6728678500872,23.17274,20.14496,19.41948,19.22034,18.89359,8157,301,2,38,7.323010883747337e+18,2,7.182029e-05,6504,56540,574
1.2376788584593492e+18,331.502029984917,10.0358020468494,20.8294,18.75091,17.51118,17.01631,16.62772,7773,301,2,123,5.702738100025055e+18,0,0.1521936,5065,55739,200
1.2376634787269847e+18,344.984770271278,-0.352615781151814,23.20911,22.79291,22.08589,21.86282,21.8512,4192,301,3,255,1.0375386573252614e+19,0,0.8181597,9215,57682,796
1.2376623410885435e+18,244.824523050208,25.1545639915034,24.8868,22.13311,20.44728,19.49171,18.9747,3927,301,4,118,5.322135277350967e+18,0,0.4849288,4727,55693,23
1.2376785980875082e+18,353.201522444633,3.08079593630972,24.5489,21.44267,20.95315,20.7936,20.48442,7712,301,5,284,4.822278327657321e+18,2,-0.000428576,4283,55864,178
1.2376785980911127e+18,1.494388639357,3.29174632998873,20.38562,20.40514,20.29996,20.05918,19.89044,7712,301,5,339,9.84382410307275e+18,1,2.031528,8743,57663,295
