market_id,created_at,actual_delivery_time,store_id,store_primary_category,order_protocol,total_items,subtotal,num_distinct_items,min_item_price,max_item_price,total_onshift_partners,total_busy_partners,total_outstanding_orders
1.0,2015-02-06 22:24:17,2015-02-06 23:27:16,5913,4,1.0,4,3441,4,557,1239,33.0,14.0,21.0
2.0,2015-02-10 21:49:25,2015-02-10 22:56:29,6346,47,2.0,1,1900,1,1400,1400,1.0,2.0,2.0
3.0,2015-01-22 20:39:28,2015-01-22 21:09:09,6346,50,1.0,1,1900,1,1900,1900,1.0,0.0,0.0
3.0,2015-02-03 21:21:45,2015-02-03 22:13:00,6346,50,1.0,6,6900,5,600,1800,1.0,1.0,2.0
3.0,2015-02-15 02:40:36,2015-02-15 03:20:26,6346,50,1.0,3,3900,3,1100,1600,6.0,6.0,9.0
3.0,2015-01-28 20:30:38,2015-01-28 21:08:58,6346,50,1.0,3,5000,3,1500,1900,2.0,2.0,2.0
3.0,2015-01-31 02:16:36,2015-01-31 02:43:00,6346,50,1.0,2,3900,2,1200,2700,10.0,9.0,9.0
3.0,2015-02-12 03:03:35,2015-02-12 03:36:20,6346,50,1.0,4,4850,4,750,1800,7.0,8.0,7.0
2.0,2015-02-16 00:11:35,2015-02-16 00:38:01,6346,36,3.0,4,4771,3,820,1604,8.0,6.0,18.0
3.0,2015-02-18 01:15:45,2015-02-18 02:08:57,6346,50,1.0,2,2100,2,700,1200,2.0,2.0,2.0
3.0,2015-02-02 19:22:53,2015-02-02 20:09:19,6346,50,4.0,4,4300,4,1200,1500,1.0,1.0,1.0
3.0,2015-02-16 04:19:33,2015-02-16 06:34:00,6346,50,1.0,2,2200,2,600,1600,3.0,3.0,4.0
3.0,2015-02-07 01:34:31,2015-02-07 02:17:14,6346,50,1.0,1,1900,1,1900,1900,6.0,3.0,3.0
3.0,2015-01-25 01:50:51,2015-01-25 02:28:53,6346,50,4.0,4,4986,4,699,2362,16.0,6.0,9.0
1.0,2015-02-12 03:36:46,2015-02-12 04:14:39,6304,39,1.0,1,1525,1,1525,1525,5.0,6.0,8.0
1.0,2015-01-27 02:12:36,2015-01-27 03:02:24,6304,39,1.0,2,3620,2,1425,2195,5.0,5.0,7.0
1.0,2015-02-06 00:42:42,2015-02-06 02:10:29,6304,39,1.0,3,4475,3,925,1825,4.0,1.0,1.0
1.0,2015-02-08 02:04:17,2015-02-08 03:27:13,6304,39,1.0,3,4375,3,1325,1625,6.0,4.0,3.0
1.0,2015-01-31 04:35:54,2015-01-31 05:47:30,6304,39,1.0,2,3150,2,1425,1725,4.0,9.0,12.0
1.0,2015-01-31 02:21:23,2015-01-31 03:11:42,5478,47,1.0,2,950,2,150,700,24.0,24.0,26.0
1.0,2015-01-31 23:45:12,2015-02-01 00:14:05,5478,47,1.0,5,1285,3,150,400,12.0,13.0,11.0
1.0,2015-02-17 03:13:20,2015-02-17 04:00:31,6127,39,1.0,4,5800,4,700,2000,19.0,19.0,30.0
1.0,2015-02-15 01:26:20,2015-02-15 02:16:07,6127,39,1.0,2,2800,2,1200,1600,21.0,17.0,16.0
1.0,2015-02-02 05:27:49,2015-02-02 07:05:09,6127,39,1.0,7,14900,5,1200,3900,8.0,11.0,11.0
1.0,2015-02-16 02:21:20,2015-02-16 03:54:14,6127,39,1.0,3,3400,3,1400,2100,22.0,21.0,39.0
1.0,2015-02-13 01:01:58,2015-02-13 01:40:09,6127,39,1.0,3,3800,3,700,1600,16.0,9.0,7.0
1.0,2015-01-24 02:01:20,2015-01-24 02:46:13,6127,39,1.0,1,1800,1,1800,1800,27.0,25.0,24.0
1.0,2015-02-10 04:36:39,2015-02-10 05:20:37,6127,39,1.0,4,5800,4,700,2000,13.0,16.0,27.0
1.0,2015-01-26 02:09:48,2015-01-26 02:47:22,6127,39,1.0,3,3800,3,800,1800,21.0,18.0,20.0
1.0,2015-02-07 01:44:26,2015-02-07 02:48:06,6127,39,1.0,1,1800,1,1800,1800,22.0,21.0,20.0
1.0,2015-01-30 01:43:09,2015-01-30 02:20:42,6127,39,1.0,2,2700,2,1200,1500,16.0,16.0,13.0
3.0,2015-01-30 19:49:30,2015-01-30 20:28:45,2198,60,2.0,4,3490,3,175,850,16.0,16.0,21.0
1.0,2015-01-28 20:33:04,2015-01-28 21:04:14,2198,50,3.0,3,1765,3,275,895,22.0,21.0,24.0
1.0,2015-02-12 20:27:42,2015-02-12 21:18:29,2198,50,2.0,1,975,1,975,975,24.0,25.0,30.0
1.0,2015-01-28 21:37:38,2015-01-28 22:11:53,2198,50,2.0,3,1425,3,175,900,13.0,12.0,7.0
2.0,2015-02-09 20:29:30,2015-02-09 21:17:34,2198,70,5.0,1,1220,1,825,825,21.0,21.0,20.0
1.0,2015-01-21 20:35:27,2015-01-21 21:01:26,2198,50,2.0,2,1750,2,825,825,18.0,18.0,20.0
1.0,2015-02-16 19:19:17,2015-02-16 20:16:43,2198,50,2.0,8,7870,6,825,895,12.0,11.0,9.0
1.0,2015-01-27 20:26:19,2015-01-27 21:03:53,2198,50,2.0,2,1725,2,825,900,21.0,18.0,18.0
1.0,2015-01-22 20:19:08,2015-01-22 21:07:43,2198,50,2.0,3,2015,3,395,1025,22.0,13.0,13.0
1.0,2015-02-10 20:05:17,2015-02-10 20:34:43,2198,50,2.0,1,1220,1,825,825,21.0,21.0,20.0
1.0,2015-01-27 18:32:58,2015-01-27 19:02:09,758,15,4.0,2,595,2,200,295,5.0,1.0,1.0
4.0,2015-02-07 01:36:34,2015-02-07 02:46:27,6174,39,1.0,4,5500,4,700,1900,117.0,112.0,178.0
4.0,2015-02-14 03:04:07,2015-02-14 04:25:25,6174,39,1.0,5,5400,3,600,2200,130.0,129.0,230.0
4.0,2015-02-08 02:50:54,2015-02-08 04:03:49,6174,39,1.0,4,7104,3,751,2191,121.0,119.0,205.0
3.0,2015-02-09 03:27:37,2015-02-09 04:22:18,6174,39,1.0,2,2400,2,600,1800,94.0,92.0,149.0
3.0,2015-02-12 03:12:08,2015-02-12 03:44:48,211,4,5.0,5,6200,5,500,1800,34.0,30.0,28.0
3.0,2015-02-18 04:26:00,2015-02-18 05:05:00,211,4,5.0,2,2800,2,1000,1800,18.0,15.0,15.0
3.0,2015-02-15 04:09:59,2015-02-15 04:50:02,211,4,5.0,4,5800,4,600,2400,33.0,33.0,42.0
3.0,2015-02-17 21:34:38,2015-02-17 22:04:26,211,4,5.0,2,2641,2,625,1240,27.0,22.0,24.0
