Row,Day.Of.Week,Date,Page.Loads,Unique.Visits,First.Time.Visits,Returning.Visits,Day_Monday,Day_Saturday,Day_Sunday,Day_Thursday,Day_Tuesday,Day_Wednesday
1,1,9/14/2014,"2,146","1,582","1,430",152,False,False,True,False,False,False
2,2,9/15/2014,"3,621","2,528","2,297",231,True,False,False,False,False,False
3,3,9/16/2014,"3,698","2,630","2,352",278,False,False,False,False,True,False
4,4,9/17/2014,"3,667","2,614","2,327",287,False,False,False,False,False,True
5,5,9/18/2014,"3,316","2,366","2,130",236,False,False,False,True,False,False
6,6,9/19/2014,"2,815","1,863","1,622",241,False,False,False,False,False,False
7,7,9/20/2014,"1,658","1,118",985,133,False,True,False,False,False,False
8,1,9/21/2014,"2,288","1,656","1,481",175,False,False,True,False,False,False
9,2,9/22/2014,"3,638","2,586","2,312",274,True,False,False,False,False,False
10,3,9/23/2014,"4,462","3,257","2,989",268,False,False,False,False,True,False
11,4,9/24/2014,"4,414","3,175","2,891",284,False,False,False,False,False,True
12,5,9/25/2014,"4,315","3,029","2,743",286,False,False,False,True,False,False
13,6,9/26/2014,"3,323","2,249","2,033",216,False,False,False,False,False,False
14,7,9/27/2014,"1,656","1,180","1,040",140,False,True,False,False,False,False
15,1,9/28/2014,"2,465","1,806","1,613",193,False,False,True,False,False,False
16,2,9/29/2014,"4,096","2,873","2,577",296,True,False,False,False,False,False
17,3,9/30/2014,"4,474","3,032","2,720",312,False,False,False,False,True,False
18,4,10/1/2014,"4,124","2,849","2,541",308,False,False,False,False,False,True
19,5,10/2/2014,"3,514","2,489","2,239",250,False,False,False,True,False,False
20,6,10/3/2014,"3,005","2,097","1,856",241,False,False,False,False,False,False
21,7,10/4/2014,"2,054","1,436","1,274",162,False,True,False,False,False,False
22,1,10/5/2014,"2,847","1,913","1,713",200,False,False,True,False,False,False
23,2,10/6/2014,"4,501","3,181","2,853",328,True,False,False,False,False,False
24,3,10/7/2014,"4,603","3,163","2,804",359,False,False,False,False,True,False
25,4,10/8/2014,"4,187","3,014","2,663",351,False,False,False,False,False,True
26,5,10/9/2014,"4,343","2,864","2,545",319,False,False,False,True,False,False
27,6,10/10/2014,"3,565","2,382","2,100",282,False,False,False,False,False,False
28,7,10/11/2014,"2,080","1,457","1,280",177,False,True,False,False,False,False
29,1,10/12/2014,"3,031","2,089","1,856",233,False,False,True,False,False,False
30,2,10/13/2014,"4,814","3,339","2,973",366,True,False,False,False,False,False
31,3,10/14/2014,"5,040","3,604","3,217",387,False,False,False,False,True,False
32,4,10/15/2014,"5,028","3,515","3,094",421,False,False,False,False,False,True
33,5,10/16/2014,"4,658","3,331","2,955",376,False,False,False,True,False,False
34,6,10/17/2014,"3,624","2,477","2,148",329,False,False,False,False,False,False
35,7,10/18/2014,"2,285","1,619","1,416",203,False,True,False,False,False,False
36,1,10/19/2014,"3,454","2,346","2,060",286,False,False,True,False,False,False
37,2,10/20/2014,"5,307","3,717","3,308",409,True,False,False,False,False,False
38,3,10/21/2014,"5,135","3,701","3,280",421,False,False,False,False,True,False
39,4,10/22/2014,"5,084","3,611","3,177",434,False,False,False,False,False,True
40,5,10/23/2014,"4,650","3,316","2,940",376,False,False,False,True,False,False
41,6,10/24/2014,"3,571","2,498","2,170",328,False,False,False,False,False,False
42,7,10/25/2014,"2,354","1,661","1,417",244,False,True,False,False,False,False
43,1,10/26/2014,"3,497","2,508","2,218",290,False,False,True,False,False,False
44,2,10/27/2014,"5,294","3,737","3,286",451,True,False,False,False,False,False
45,3,10/28/2014,"4,643","3,328","2,905",423,False,False,False,False,True,False
46,4,10/29/2014,"4,596","3,279","2,863",416,False,False,False,False,False,True
47,5,10/30/2014,"4,162","3,041","2,657",384,False,False,False,True,False,False
48,6,10/31/2014,"2,933","2,007","1,728",279,False,False,False,False,False,False
49,7,11/1/2014,"2,202","1,496","1,270",226,False,True,False,False,False,False
50,1,11/2/2014,"3,083","2,204","1,940",264,False,False,True,False,False,False
51,2,11/3/2014,"4,376","3,057","2,629",428,True,False,False,False,False,False
52,3,11/4/2014,"4,704","3,141","2,739",402,False,False,False,False,True,False
53,4,11/5/2014,"4,306","3,200","2,797",403,False,False,False,False,False,True
54,5,11/6/2014,"4,178","3,034","2,627",407,False,False,False,True,False,False
55,6,11/7/2014,"3,236","2,318","1,975",343,False,False,False,False,False,False
56,7,11/8/2014,"2,010","1,536","1,345",191,False,True,False,False,False,False
57,1,11/9/2014,"2,901","2,141","1,849",292,False,False,True,False,False,False
58,2,11/10/2014,"4,754","3,325","2,885",440,True,False,False,False,False,False
59,3,11/11/2014,"4,417","3,203","2,793",410,False,False,False,False,True,False
60,4,11/12/2014,"4,535","3,351","2,897",454,False,False,False,False,False,True
61,5,11/13/2014,"4,274","3,194","2,758",436,False,False,False,True,False,False
62,6,11/14/2014,"3,382","2,423","2,061",362,False,False,False,False,False,False
63,7,11/15/2014,"2,085","1,488","1,280",208,False,True,False,False,False,False
64,1,11/16/2014,"3,083","2,215","1,926",289,False,False,True,False,False,False
65,2,11/17/2014,"4,860","3,559","3,069",490,True,False,False,False,False,False
66,3,11/18/2014,"4,893","3,570","3,133",437,False,False,False,False,True,False
67,4,11/19/2014,"4,866","3,544","3,056",488,False,False,False,False,False,True
68,5,11/20/2014,"4,584","3,357","2,899",458,False,False,False,True,False,False
69,6,11/21/2014,"3,914","2,750","2,361",389,False,False,False,False,False,False
70,7,11/22/2014,"2,431","1,716","1,463",253,False,True,False,False,False,False
71,1,11/23/2014,"3,157","2,369","2,082",287,False,False,True,False,False,False
72,2,11/24/2014,"5,045","3,615","3,146",469,True,False,False,False,False,False
73,3,11/25/2014,"4,746","3,236","2,821",415,False,False,False,False,True,False
74,4,11/26/2014,"4,314","2,919","2,513",406,False,False,False,False,False,True
75,5,11/27/2014,"3,663","2,476","2,162",314,False,False,False,True,False,False
76,6,11/28/2014,"3,270","2,268","1,931",337,False,False,False,False,False,False
77,7,11/29/2014,"2,905","1,976","1,695",281,False,True,False,False,False,False
78,1,11/30/2014,"4,016","2,832","2,489",343,False,False,True,False,False,False
79,2,12/1/2014,"5,266","3,877","3,317",560,True,False,False,False,False,False
80,3,12/2/2014,"5,795","4,274","3,700",574,False,False,False,False,True,False
81,4,12/3/2014,"5,728","4,217","3,656",561,False,False,False,False,False,True
82,5,12/4/2014,"5,293","3,830","3,295",535,False,False,False,True,False,False
83,6,12/5/2014,"3,934","2,856","2,479",377,False,False,False,False,False,False
84,7,12/6/2014,"3,071","2,165","1,855",310,False,True,False,False,False,False
85,1,12/7/2014,"3,876","2,984","2,582",402,False,False,True,False,False,False
86,2,12/8/2014,"5,878","4,375","3,829",546,True,False,False,False,False,False
87,3,12/9/2014,"5,712","4,187","3,635",552,False,False,False,False,True,False
88,4,12/10/2014,"5,491","4,074","3,480",594,False,False,False,False,False,True
89,5,12/11/2014,"5,144","3,801","3,247",554,False,False,False,True,False,False
90,6,12/12/2014,"3,880","2,860","2,418",442,False,False,False,False,False,False
91,7,12/13/2014,"2,605","1,838","1,538",300,False,True,False,False,False,False
92,1,12/14/2014,"3,625","2,650","2,259",391,False,False,True,False,False,False
93,2,12/15/2014,"4,685","3,478","3,000",478,True,False,False,False,False,False
94,3,12/16/2014,"4,891","3,338","2,861",477,False,False,False,False,True,False
95,4,12/17/2014,"4,222","3,053","2,606",447,False,False,False,False,False,True
96,5,12/18/2014,"3,691","2,690","2,275",415,False,False,False,True,False,False
97,6,12/19/2014,"2,748","1,879","1,559",320,False,False,False,False,False,False
98,7,12/20/2014,"1,380","1,011",836,175,False,True,False,False,False,False
99,1,12/21/2014,"1,474","1,054",876,178,False,False,True,False,False,False
100,2,12/22/2014,"2,452","1,715","1,394",321,True,False,False,False,False,False
101,3,12/23/2014,"2,298","1,440","1,159",281,False,False,False,False,True,False
102,4,12/24/2014,"1,430",947,772,175,False,False,False,False,False,True
103,5,12/25/2014,"1,002",667,522,145,False,False,False,True,False,False
104,6,12/26/2014,"1,486","1,005",808,197,False,False,False,False,False,False
105,7,12/27/2014,"1,345",941,781,160,False,True,False,False,False,False
106,1,12/28/2014,"1,453",948,765,183,False,False,True,False,False,False
107,2,12/29/2014,"2,173","1,472","1,228",244,True,False,False,False,False,False
108,3,12/30/2014,"2,208","1,424","1,172",252,False,False,False,False,True,False
109,4,12/31/2014,"1,381",955,773,182,False,False,False,False,False,True
110,5,1/1/2015,"1,265",876,715,161,False,False,False,True,False,False
111,6,1/2/2015,"1,948","1,288","1,030",258,False,False,False,False,False,False
112,7,1/3/2015,"1,742","1,096",946,150,False,True,False,False,False,False
113,1,1/4/2015,"1,896","1,409","1,186",223,False,False,True,False,False,False
114,2,1/5/2015,"3,033","2,062","1,706",356,True,False,False,False,False,False
115,3,1/6/2015,"3,445","2,327","1,942",385,False,False,False,False,True,False
116,4,1/7/2015,"3,423","2,384","1,991",393,False,False,False,False,False,True
117,5,1/8/2015,"3,319","2,272","1,922",350,False,False,False,True,False,False
118,6,1/9/2015,"2,783","1,941","1,663",278,False,False,False,False,False,False
119,7,1/10/2015,"1,952","1,240","1,066",174,False,True,False,False,False,False
120,1,1/11/2015,"2,245","1,611","1,391",220,False,False,True,False,False,False
