application_id,gender,international,gpa,major,race,gmat,work_exp,work_industry,admission
1,0,0,3.3,0,0,620.0,3.0,3,0
7,0,0,2.93,2,3,590.0,3.0,13,0
13,0,0,3.24,1,2,640.0,6.0,10,1
15,0,0,3.03,2,4,600.0,5.0,13,0
17,0,0,3.32,0,0,710.0,5.0,10,0
21,1,0,3.46,0,4,760.0,5.0,5,0
25,0,0,3.47,2,4,710.0,5.0,1,0
26,1,0,3.26,1,0,690.0,5.0,13,0
34,0,0,3.53,2,4,710.0,5.0,1,0
39,0,0,3.3,1,0,740.0,6.0,5,0
40,0,0,3.45,1,0,640.0,3.0,10,0
44,0,0,2.93,1,3,590.0,4.0,1,0
48,1,0,3.33,2,2,720.0,7.0,1,0
51,1,0,3.26,0,4,670.0,6.0,1,1
54,0,0,3.23,2,0,700.0,6.0,10,0
61,0,0,3.27,0,4,670.0,5.0,1,0
65,0,0,3.39,1,4,680.0,5.0,5,0
70,1,0,3.41,1,4,690.0,6.0,13,0
72,0,0,3.33,1,2,680.0,5.0,1,1
76,0,0,3.24,1,2,590.0,4.0,8,1
80,0,0,3.1,2,0,680.0,4.0,4,0
84,0,0,3.35,1,4,710.0,6.0,1,0
88,1,0,3.48,0,4,710.0,5.0,1,0
94,0,0,3.23,1,4,620.0,7.0,8,0
95,0,0,3.05,1,4,600.0,5.0,9,0
96,1,0,3.32,0,1,670.0,4.0,1,0
100,0,0,3.38,1,4,660.0,5.0,1,0
105,0,0,3.3,1,2,670.0,4.0,8,0
114,0,0,3.2,1,0,680.0,7.0,1,0
115,0,0,3.23,2,0,610.0,5.0,8,0
117,0,0,3.46,2,4,660.0,5.0,1,0
119,1,0,3.33,1,4,680.0,4.0,3,0
130,0,0,3.27,0,4,660.0,6.0,9,0
131,1,0,3.34,1,4,700.0,4.0,1,0
135,0,0,3.28,1,4,610.0,6.0,1,0
139,0,0,3.31,2,0,600.0,5.0,5,0
151,1,0,3.37,0,0,710.0,5.0,13,0
155,0,0,3.55,1,0,680.0,6.0,10,0
158,0,0,3.18,2,0,650.0,6.0,8,0
162,0,0,3.2,2,4,610.0,4.0,1,0
166,0,0,3.17,2,4,600.0,4.0,8,0
167,0,0,3.43,0,4,680.0,3.0,1,0
168,1,0,3.36,2,1,700.0,5.0,10,0
170,0,0,3.23,0,1,680.0,6.0,4,0
171,0,0,3.36,1,0,710.0,4.0,0,0
177,0,0,3.25,1,4,670.0,5.0,1,0
183,1,0,3.34,1,4,700.0,5.0,1,0
191,0,0,3.32,1,4,730.0,5.0,8,0
196,0,0,3.14,0,4,600.0,3.0,8,0
199,0,0,3.6,1,3,670.0,5.0,1,0
200,1,0,3.5,2,2,700.0,6.0,6,0
207,1,0,3.45,1,3,700.0,6.0,1,0
209,1,0,3.35,0,4,660.0,5.0,1,0
210,0,0,3.23,0,4,670.0,5.0,8,0
212,0,0,3.44,0,4,750.0,5.0,13,0
214,0,0,3.24,0,4,660.0,6.0,13,0
218,0,0,3.02,1,0,570.0,4.0,1,0
224,0,0,3.19,0,0,630.0,5.0,5,0
225,0,0,3.24,2,0,670.0,4.0,1,0
241,0,0,3.15,0,4,620.0,6.0,13,0
242,0,0,3.11,2,0,620.0,4.0,3,0
246,0,0,3.02,2,0,570.0,5.0,9,0
254,0,0,3.61,1,1,740.0,6.0,4,0
273,0,0,3.23,1,3,670.0,6.0,5,0
276,0,0,3.05,1,0,630.0,5.0,1,0
283,1,0,3.58,0,4,740.0,4.0,5,0
284,0,0,2.97,1,0,590.0,4.0,8,0
286,0,0,3.49,0,0,780.0,6.0,10,0
289,1,0,3.42,2,0,750.0,3.0,7,0
294,0,0,3.35,0,0,670.0,5.0,13,0
302,1,0,3.36,0,0,720.0,4.0,13,0
305,1,0,3.53,2,0,660.0,5.0,5,0
307,0,0,3.25,1,0,710.0,6.0,13,0
308,0,0,3.34,1,0,760.0,4.0,10,0
311,1,0,3.49,0,3,700.0,5.0,6,0
314,0,0,3.25,1,0,580.0,5.0,1,0
316,0,0,3.29,1,0,700.0,4.0,6,0
319,0,0,3.32,1,4,630.0,5.0,1,0
336,0,0,3.21,1,4,700.0,6.0,10,0
341,0,0,3.1,0,3,620.0,6.0,11,0
344,0,0,3.18,2,4,590.0,6.0,8,0
345,0,0,2.96,1,4,580.0,7.0,3,0
347,0,0,3.35,2,4,700.0,5.0,13,0
353,0,0,3.47,1,4,760.0,4.0,13,0
355,1,0,3.28,2,1,720.0,5.0,10,0
356,1,0,3.37,2,4,690.0,5.0,1,0
365,0,0,3.42,1,4,700.0,6.0,1,0
366,0,0,3.27,0,4,660.0,4.0,1,0
370,0,0,3.16,1,4,620.0,5.0,13,0
379,0,0,3.11,2,3,610.0,6.0,10,0
381,0,0,3.26,2,4,650.0,6.0,1,0
383,0,0,3.1,0,0,610.0,5.0,8,0
385,1,0,3.43,1,2,660.0,4.0,0,0
386,0,0,3.31,2,4,620.0,5.0,5,0
387,0,0,3.03,1,0,590.0,5.0,1,0
392,0,0,3.34,0,4,680.0,4.0,3,0
394,0,0,3.49,1,4,690.0,5.0,3,0
404,0,0,3.35,0,4,620.0,6.0,1,0
405,0,0,3.36,0,4,620.0,4.0,10,0
406,0,0,3.06,0,4,580.0,5.0,5,0
408,0,0,3.06,0,4,610.0,6.0,8,0
412,0,0,3.29,0,4,600.0,5.0,1,0
413,0,0,3.18,1,0,630.0,4.0,10,0
416,0,0,3.13,1,0,670.0,4.0,13,1
418,0,0,3.07,2,0,630.0,5.0,13,1
435,0,0,3.19,2,0,690.0,5.0,4,1
437,0,0,3.43,1,4,770.0,5.0,1,0
438,0,0,3.12,1,0,600.0,3.0,13,1
441,0,0,3.46,2,4,680.0,7.0,10,0
443,0,0,3.25,2,4,620.0,4.0,13,0
445,0,0,3.18,1,4,570.0,5.0,6,0
459,0,0,3.17,0,3,660.0,6.0,13,0
460,1,0,3.4,0,0,680.0,5.0,1,0
461,0,0,3.35,1,0,660.0,3.0,10,1
465,0,0,3.06,2,4,590.0,6.0,1,0
466,0,0,3.37,1,0,640.0,4.0,4,1
468,0,0,3.19,1,0,660.0,4.0,4,1
469,0,0,3.36,1,0,670.0,4.0,9,0
470,0,0,3.22,1,4,670.0,6.0,13,0
471,1,0,3.37,1,2,720.0,6.0,8,0
473,1,0,3.48,0,1,690.0,5.0,5,0
474,0,0,3.34,2,3,680.0,5.0,13,0
476,0,0,3.1,0,0,640.0,6.0,1,1
484,0,0,3.27,0,3,580.0,5.0,3,0
498,1,0,3.42,0,4,720.0,3.0,10,0
503,0,0,3.55,0,0,640.0,6.0,9,1
507,0,0,3.33,2,4,660.0,5.0,13,0
508,0,0,3.28,1,0,690.0,4.0,13,1
511,0,0,3.51,2,0,780.0,5.0,10,1
528,0,0,3.03,2,4,600.0,5.0,3,0
529,0,0,3.42,1,3,760.0,5.0,9,0
530,0,0,3.27,1,3,650.0,6.0,5,0
535,0,0,3.35,1,4,720.0,5.0,5,0
548,0,0,3.5,1,4,680.0,6.0,1,0
551,0,0,3.33,0,4,630.0,5.0,1,1
553,0,0,3.35,1,4,640.0,5.0,5,1
574,0,0,3.16,0,4,630.0,4.0,1,1
579,1,0,3.46,0,2,660.0,6.0,13,0
581,1,0,3.32,0,4,720.0,4.0,8,0
583,1,0,3.33,2,4,680.0,4.0,5,0
584,1,0,3.35,0,4,660.0,3.0,1,0
592,0,0,3.33,1,4,700.0,4.0,8,0
593,1,0,3.44,0,4,660.0,6.0,1,0
602,0,0,2.98,2,4,640.0,3.0,9,1
604,0,0,3.31,2,1,720.0,7.0,13,0
610,0,0,3.69,2,0,780.0,6.0,8,0
615,0,0,3.22,1,1,660.0,5.0,13,0
622,0,0,3.4,0,2,780.0,5.0,13,0
657,0,0,3.37,1,0,670.0,4.0,13,0
658,0,0,3.17,0,3,570.0,6.0,9,0
672,1,0,3.65,2,2,710.0,6.0,3,0
676,1,0,3.22,2,2,690.0,3.0,6,0
678,0,0,3.45,1,4,690.0,4.0,1,1
682,1,0,3.26,0,4,740.0,6.0,1,0
685,1,0,3.34,0,4,680.0,5.0,3,0
686,0,0,3.58,0,3,780.0,5.0,13,0
697,0,0,3.36,1,4,640.0,5.0,10,1
704,0,0,3.28,1,3,650.0,6.0,10,0
710,0,0,3.2,1,4,640.0,6.0,1,1
712,0,0,3.51,1,3,690.0,4.0,1,0
717,0,0,3.44,2,4,650.0,3.0,1,1
719,1,0,3.26,2,0,690.0,4.0,13,0
722,1,0,3.26,2,0,710.0,6.0,6,0
733,0,0,3.37,0,4,710.0,5.0,1,1
749,1,0,3.37,1,4,700.0,4.0,1,0
751,1,0,3.29,2,2,750.0,6.0,10,1
756,0,0,3.45,0,0,700.0,5.0,9,0
765,1,0,3.35,1,1,720.0,7.0,1,0
771,0,0,3.07,1,4,620.0,6.0,4,1
782,1,0,3.49,2,1,690.0,6.0,5,0
787,0,0,3.26,1,4,740.0,4.0,4,0
795,1,0,3.33,2,0,690.0,4.0,3,0
807,0,0,3.26,0,4,710.0,5.0,5,0
813,0,0,3.41,2,4,670.0,4.0,10,1
825,0,0,3.28,1,4,610.0,5.0,0,1
829,1,0,3.58,2,1,740.0,4.0,4,0
845,0,0,3.39,0,2,670.0,6.0,10,0
851,1,0,3.28,2,4,710.0,5.0,13,0
859,0,0,3.45,2,2,710.0,4.0,4,0
862,0,0,3.03,2,4,640.0,5.0,6,1
868,1,0,3.52,2,0,710.0,5.0,7,0
872,1,0,3.44,1,0,720.0,5.0,1,0
880,1,0,3.28,2,4,670.0,5.0,10,1
886,1,0,3.33,0,0,700.0,5.0,1,0
887,0,0,3.3,1,0,690.0,7.0,1,0
897,1,0,3.29,1,2,760.0,5.0,13,0
904,0,0,3.34,1,0,660.0,6.0,11,0
905,0,0,3.23,1,4,710.0,6.0,10,0
926,0,0,3.36,1,0,660.0,5.0,6,0
928,0,0,3.42,2,2,780.0,6.0,1,0
932,0,0,3.31,0,4,660.0,4.0,10,0
939,1,0,3.21,1,4,690.0,3.0,11,0
962,1,0,3.51,1,4,750.0,6.0,11,0
968,1,0,3.33,2,0,730.0,6.0,10,0
969,1,0,3.56,1,0,700.0,6.0,13,0
990,0,0,3.2,1,3,660.0,6.0,10,0
995,0,0,3.46,0,4,710.0,5.0,10,0
1000,0,0,3.19,1,3,640.0,6.0,1,1
1009,1,0,3.41,1,0,690.0,6.0,10,0
1017,0,0,3.45,1,0,710.0,7.0,0,0
1022,0,0,3.24,0,3,650.0,4.0,1,1
1029,1,0,3.51,1,4,710.0,6.0,5,0
1033,1,0,3.32,2,1,700.0,5.0,13,0
1035,1,0,3.44,1,3,710.0,7.0,9,0
1042,1,0,3.3,2,0,690.0,5.0,5,0
1055,1,0,3.4,1,4,730.0,5.0,13,0
1074,1,0,3.3,2,4,660.0,6.0,3,0
1087,1,0,3.35,2,0,720.0,5.0,10,0
1096,1,0,3.31,2,3,680.0,3.0,10,0
1118,0,0,3.57,0,4,680.0,4.0,10,0
1125,1,0,3.29,2,4,710.0,5.0,3,0
1127,1,0,3.26,1,0,670.0,5.0,9,0
1147,0,0,3.39,2,0,700.0,4.0,5,0
1152,0,0,3.31,2,1,660.0,6.0,5,1
1158,1,0,3.32,0,0,770.0,5.0,4,0
1164,1,0,3.24,1,4,670.0,4.0,5,1
1168,1,0,3.47,2,1,700.0,5.0,8,0
1170,0,0,3.47,2,4,740.0,3.0,13,0
1182,0,0,3.26,2,4,720.0,4.0,3,0
1187,0,0,3.74,1,4,760.0,4.0,8,0
1189,1,0,3.38,1,3,700.0,6.0,1,1
1197,1,0,3.5,2,1,730.0,5.0,9,0
1199,1,0,3.35,1,1,670.0,5.0,2,0
1239,1,0,3.29,1,3,770.0,5.0,3,0
1268,1,0,3.25,2,4,680.0,5.0,6,0
1292,0,0,3.65,0,4,660.0,5.0,5,0
1297,0,0,3.23,2,4,710.0,4.0,1,0
1300,1,0,3.55,1,0,670.0,3.0,6,0
1302,0,0,3.51,1,2,740.0,5.0,3,0
1315,0,0,3.33,2,2,680.0,5.0,10,0
1340,0,0,3.38,1,0,670.0,6.0,5,0
1360,0,0,3.43,1,1,670.0,5.0,1,0
1377,1,0,3.58,2,1,660.0,5.0,13,0
1381,1,0,3.53,0,4,690.0,5.0,8,0
1382,0,0,3.32,1,3,670.0,5.0,1,0
1388,0,0,3.41,2,0,750.0,5.0,3,0
1421,1,0,3.51,0,4,740.0,5.0,5,0
1447,0,0,3.42,1,0,720.0,6.0,4,0
1457,0,0,3.3,1,1,670.0,6.0,10,1
1463,0,0,3.45,1,0,690.0,5.0,0,0
1497,1,0,3.53,0,4,750.0,5.0,10,0
1504,0,0,3.42,2,4,740.0,5.0,8,0
1505,1,0,3.52,1,3,710.0,6.0,10,0
1508,1,0,3.33,0,0,760.0,6.0,10,0
1513,0,0,3.43,2,0,700.0,3.0,10,0
1535,0,0,3.21,2,0,660.0,6.0,13,0
1552,0,0,3.31,1,4,660.0,5.0,13,0
1555,0,0,3.21,0,4,730.0,5.0,8,0
1565,1,0,3.51,2,4,710.0,5.0,6,0
