application_id,gender,international,gpa,major,race,gmat,work_exp,work_industry,admission
1,Female,False,3.3,Business,Asian,620.0,3.0,Financial Services,Admit
7,Female,False,2.93,STEM,Other,590.0,3.0,Technology,Admit
13,Female,False,3.24,Humanities,Hispanic,640.0,6.0,PE/VC,Waitlist
15,Female,False,3.03,STEM,White,600.0,5.0,Technology,Admit
17,Female,False,3.32,Business,Asian,710.0,5.0,PE/VC,Admit
21,Male,False,3.46,Business,White,760.0,5.0,Investment Banking,Admit
25,Female,False,3.47,STEM,White,710.0,5.0,Consulting,Admit
26,Male,False,3.26,Humanities,Asian,690.0,5.0,Technology,Admit
34,Female,False,3.53,STEM,White,710.0,5.0,Consulting,Admit
39,Female,False,3.3,Humanities,Asian,740.0,6.0,Investment Banking,Admit
40,Female,False,3.45,Humanities,Asian,640.0,3.0,PE/VC,Admit
44,Female,False,2.93,Humanities,Other,590.0,4.0,Consulting,Admit
48,Male,False,3.33,STEM,Hispanic,720.0,7.0,Consulting,Admit
51,Male,False,3.26,Business,White,670.0,6.0,Consulting,Waitlist
54,Female,False,3.23,STEM,Asian,700.0,6.0,PE/VC,Admit
61,Female,False,3.27,Business,White,670.0,5.0,Consulting,Admit
65,Female,False,3.39,Humanities,White,680.0,5.0,Investment Banking,Admit
70,Male,False,3.41,Humanities,White,690.0,6.0,Technology,Admit
72,Female,False,3.33,Humanities,Hispanic,680.0,5.0,Consulting,Waitlist
76,Female,False,3.24,Humanities,Hispanic,590.0,4.0,Nonprofit/Gov,Waitlist
80,Female,False,3.1,STEM,Asian,680.0,4.0,Health Care,Admit
84,Female,False,3.35,Humanities,White,710.0,6.0,Consulting,Admit
88,Male,False,3.48,Business,White,710.0,5.0,Consulting,Admit
94,Female,False,3.23,Humanities,White,620.0,7.0,Nonprofit/Gov,Admit
95,Female,False,3.05,Humanities,White,600.0,5.0,Other,Admit
96,Male,False,3.32,Business,Black,670.0,4.0,Consulting,Admit
100,Female,False,3.38,Humanities,White,660.0,5.0,Consulting,Admit
105,Female,False,3.3,Humanities,Hispanic,670.0,4.0,Nonprofit/Gov,Admit
114,Female,False,3.2,Humanities,Asian,680.0,7.0,Consulting,Admit
115,Female,False,3.23,STEM,Asian,610.0,5.0,Nonprofit/Gov,Admit
117,Female,False,3.46,STEM,White,660.0,5.0,Consulting,Admit
119,Male,False,3.33,Humanities,White,680.0,4.0,Financial Services,Admit
130,Female,False,3.27,Business,White,660.0,6.0,Other,Admit
131,Male,False,3.34,Humanities,White,700.0,4.0,Consulting,Admit
135,Female,False,3.28,Humanities,White,610.0,6.0,Consulting,Admit
139,Female,False,3.31,STEM,Asian,600.0,5.0,Investment Banking,Admit
151,Male,False,3.37,Business,Asian,710.0,5.0,Technology,Admit
155,Female,False,3.55,Humanities,Asian,680.0,6.0,PE/VC,Admit
158,Female,False,3.18,STEM,Asian,650.0,6.0,Nonprofit/Gov,Admit
162,Female,False,3.2,STEM,White,610.0,4.0,Consulting,Admit
166,Female,False,3.17,STEM,White,600.0,4.0,Nonprofit/Gov,Admit
167,Female,False,3.43,Business,White,680.0,3.0,Consulting,Admit
168,Male,False,3.36,STEM,Black,700.0,5.0,PE/VC,Admit
170,Female,False,3.23,Business,Black,680.0,6.0,Health Care,Admit
171,Female,False,3.36,Humanities,Asian,710.0,4.0,CPG,Admit
177,Female,False,3.25,Humanities,White,670.0,5.0,Consulting,Admit
183,Male,False,3.34,Humanities,White,700.0,5.0,Consulting,Admit
191,Female,False,3.32,Humanities,White,730.0,5.0,Nonprofit/Gov,Admit
196,Female,False,3.14,Business,White,600.0,3.0,Nonprofit/Gov,Admit
199,Female,False,3.6,Humanities,Other,670.0,5.0,Consulting,Admit
200,Male,False,3.5,STEM,Hispanic,700.0,6.0,Investment Management,Admit
207,Male,False,3.45,Humanities,Other,700.0,6.0,Consulting,Admit
209,Male,False,3.35,Business,White,660.0,5.0,Consulting,Admit
210,Female,False,3.23,Business,White,670.0,5.0,Nonprofit/Gov,Admit
212,Female,False,3.44,Business,White,750.0,5.0,Technology,Admit
214,Female,False,3.24,Business,White,660.0,6.0,Technology,Admit
218,Female,False,3.02,Humanities,Asian,570.0,4.0,Consulting,Admit
224,Female,False,3.19,Business,Asian,630.0,5.0,Investment Banking,Admit
225,Female,False,3.24,STEM,Asian,670.0,4.0,Consulting,Admit
241,Female,False,3.15,Business,White,620.0,6.0,Technology,Admit
242,Female,False,3.11,STEM,Asian,620.0,4.0,Financial Services,Admit
246,Female,False,3.02,STEM,Asian,570.0,5.0,Other,Admit
254,Female,False,3.61,Humanities,Black,740.0,6.0,Health Care,Admit
273,Female,False,3.23,Humanities,Other,670.0,6.0,Investment Banking,Admit
276,Female,False,3.05,Humanities,Asian,630.0,5.0,Consulting,Admit
283,Male,False,3.58,Business,White,740.0,4.0,Investment Banking,Admit
284,Female,False,2.97,Humanities,Asian,590.0,4.0,Nonprofit/Gov,Admit
