Area,Room,Address,Price,Price(USD),Parking_True,Warehouse_True,Elevator_True
63,1,156,1850000000.0,61666.67,True,True,True
60,1,156,1850000000.0,61666.67,True,True,True
79,2,117,550000000.0,18333.33,True,True,True
95,2,152,902500000.0,30083.33,True,True,True
123,2,150,7000000000.0,233333.33,True,True,True
70,2,106,2050000000.0,68333.33,True,True,False
87,2,117,600000000.0,20000.0,True,True,True
59,1,156,2150000000.0,71666.67,True,True,True
54,2,13,493000000.0,16433.33,True,True,False
71,1,183,2370000000.0,79000.0,True,True,True
68,2,183,2450000000.0,81666.67,True,True,True
64,1,100,2100000000.0,70000.0,True,True,True
54,1,100,1690000000.0,56333.33,False,True,True
136,3,135,11000000000.0,366666.67,True,True,True
95,2,188,5000000000.0,166666.67,True,True,True
63,1,71,570000000.0,19000.0,False,True,False
155,3,100,6700000000.0,223333.33,True,True,True
64,2,120,1450000000.0,48333.33,False,True,False
140,3,183,6400000000.0,213333.33,True,True,True
42,1,120,1390000000.0,46333.33,False,True,False
93,2,150,7000000000.0,233333.33,True,True,True
87,2,154,2500000000.0,83333.33,True,True,True
65,1,156,1880000000.0,62666.67,True,True,True
99,2,99,2277000000.0,75900.0,True,True,True
105,2,135,7150000000.0,238333.33,True,True,True
160,3,179,14945000000.0,498166.67,True,True,True
77,2,12,1771000000.0,59033.33,True,True,True
123,2,120,4059000000.0,135300.0,True,True,True
110,2,163,630000000.0,21000.0,True,True,True
100,2,183,3200000000.0,106666.67,True,True,True
90,2,141,1500000000.0,50000.0,False,True,False
49,1,183,2200000000.0,73333.33,True,True,True
96,2,190,7872000000.0,262400.0,True,True,True
67,2,52,2350000000.0,78333.33,True,True,False
68,2,183,2500000000.0,83333.33,True,True,True
62,1,181,2150000000.0,71666.67,True,False,True
55,1,183,2150000000.0,71666.67,True,True,True
110,2,183,3750000000.0,125000.0,True,True,True
129,2,183,5250000000.0,175000.0,True,True,True
109,2,183,4830000000.0,161000.0,True,True,True
58,1,135,3400000000.0,113333.33,True,True,True
55,1,135,3850000000.0,128333.33,True,True,True
150,2,152,1200000000.0,40000.0,False,True,True
60,2,192,2650000000.0,88333.33,True,True,True
130,3,147,5000000000.0,166666.67,True,True,False
88,2,61,4750000000.0,158333.33,True,True,True
51,1,61,2980000000.0,99333.33,True,True,True
113,3,150,7000000000.0,233333.33,True,True,False
110,2,128,2035000000.0,67833.33,True,True,True
60,1,1,2460000000.0,82000.0,True,True,True
98,2,117,540000000.0,18000.0,True,True,True
62,2,111,1450000000.0,48333.33,False,False,True
150,3,50,10000000000.0,333333.33,True,True,True
75,2,115,635000000.0,21166.67,False,False,False
61,1,122,2030000000.0,67666.67,True,True,False
72,2,156,2350000000.0,78333.33,True,True,True
100,2,125,3000000000.0,100000.0,True,True,True
122,3,14,7200000000.0,240000.0,True,True,True
215,3,113,1750000000.0,58333.33,True,True,True
101,2,127,3300000000.0,110000.0,True,True,True
67,2,122,2800000000.0,93333.33,True,True,True
72,2,122,2200000000.0,73333.33,True,True,False
