market_id,created_at,actual_delivery_time,store_id,store_primary_category,order_protocol,total_items,subtotal,num_distinct_items,min_item_price,max_item_price,total_onshift_partners,total_busy_partners,total_outstanding_orders
1.0,100343,99044,5913,4,1.0,4,3441,4,557,1239,33.0,14.0,21.0
2.0,128855,126957,6346,47,2.0,1,1900,1,1400,1400,1.0,2.0,2.0
3.0,6684,6456,6346,50,1.0,1,1900,1,1900,1900,1.0,0.0,0.0
3.0,81675,80553,6346,50,1.0,6,6900,5,600,1800,1.0,1.0,2.0
3.0,158806,155878,6346,50,1.0,3,3900,3,1100,1600,6.0,6.0,9.0
3.0,43004,42358,6346,50,1.0,3,5000,3,1500,1900,2.0,2.0,2.0
3.0,57604,56109,6346,50,1.0,2,3900,2,1200,2700,10.0,9.0,9.0
3.0,137574,135090,6346,50,1.0,4,4850,4,750,1800,7.0,8.0,7.0
2.0,164686,161965,6346,36,3.0,4,4771,3,820,1604,8.0,6.0,18.0
3.0,177901,175153,6346,50,1.0,2,2100,2,700,1200,2.0,2.0,2.0
3.0,74555,73494,6346,50,4.0,4,4300,4,1200,1500,1.0,1.0,1.0
3.0,169054,166809,6346,50,1.0,2,2200,2,600,1600,3.0,3.0,4.0
3.0,101797,100301,6346,50,1.0,1,1900,1,1900,1900,6.0,3.0,3.0
3.0,22449,21892,6346,50,4.0,4,4986,4,699,2362,16.0,6.0,9.0
1.0,138103,135736,6304,39,1.0,1,1525,1,1525,1525,5.0,6.0,8.0
1.0,34778,34278,6304,39,1.0,2,3620,2,1425,2195,5.0,5.0,7.0
1.0,94469,93667,6304,39,1.0,3,4475,3,925,1825,4.0,1.0,1.0
1.0,110677,109713,6304,39,1.0,3,4375,3,1325,1625,6.0,4.0,3.0
1.0,60005,59242,6304,39,1.0,2,3150,2,1425,1725,4.0,9.0,12.0
1.0,57700,56635,5478,47,1.0,2,950,2,150,700,24.0,24.0,26.0
1.0,63088,62061,5478,47,1.0,5,1285,3,150,400,12.0,13.0,11.0
1.0,173991,171219,6127,39,1.0,4,5800,4,700,2000,19.0,19.0,30.0
1.0,157246,154817,6127,39,1.0,2,2800,2,1200,1600,21.0,17.0,16.0
1.0,73967,72961,6127,39,1.0,7,14900,5,1200,3900,8.0,11.0,11.0
1.0,167092,165111,6127,39,1.0,3,3400,3,1400,2100,22.0,21.0,39.0
1.0,141923,139553,6127,39,1.0,3,3800,3,700,1600,16.0,9.0,7.0
1.0,15165,14761,6127,39,1.0,1,1800,1,1800,1800,27.0,25.0,24.0
1.0,126918,124953,6127,39,1.0,4,5800,4,700,2000,13.0,16.0,27.0
1.0,29766,29247,6127,39,1.0,3,3800,3,800,1800,21.0,18.0,20.0
1.0,101991,100842,6127,39,1.0,1,1800,1,1800,1800,22.0,21.0,20.0
1.0,50443,49552,6127,39,1.0,2,2700,2,1200,1500,16.0,16.0,13.0
3.0,54285,53320,2198,60,2.0,4,3490,3,175,850,16.0,16.0,21.0
1.0,43021,42301,2198,50,3.0,3,1765,3,275,895,22.0,21.0,24.0
1.0,140349,138150,2198,50,2.0,1,975,1,975,975,24.0,25.0,30.0
1.0,43420,42757,2198,50,2.0,3,1425,3,175,900,13.0,12.0,7.0
2.0,122697,120856,2198,70,5.0,1,1220,1,825,825,21.0,21.0,20.0
1.0,1050,868,2198,50,2.0,2,1750,2,825,825,18.0,18.0,20.0
1.0,169956,167343,2198,50,2.0,8,7870,6,825,895,12.0,11.0,9.0
1.0,37723,37118,2198,50,2.0,2,1725,2,825,900,21.0,18.0,18.0
1.0,6524,6445,2198,50,2.0,3,2015,3,395,1025,22.0,13.0,13.0
1.0,128141,125951,2198,50,2.0,1,1220,1,825,825,21.0,21.0,20.0
1.0,37014,36427,758,15,4.0,2,595,2,200,295,5.0,1.0,1.0
