code,title,section,class,subclass,group,main_group
147986,12853,5,5.0,1,2280.0,1011.0
132394,120433,4,3.0,3,5.0,1.0
223867,181989,7,1.0,15,13.0,2407.0
22358,170765,0,61.0,9,8.0,4966.0
206168,145804,7,1.0,5,27.0,266.0
90534,84359,2,4.0,1,2103.0,46.0
195376,155756,6,6.0,5,7.0,49931.0
79594,54312,1,65.0,6,2207.0,34.0
166383,166379,5,41.0,2,33.0,2.0
17371,157644,0,61.0,5,2002.0,30777.0
121640,26840,2,21.0,1,2400.0,56.0
120816,615,2,12.0,20,403.0,1014.0
204601,77265,6,21.0,1,1.0,19.0
44858,172440,1,23.0,9,37.0,461.0
58298,207524,1,41.0,2,1.0,6.0
70527,200403,1,61.0,10,13.0,5.0
3560,132662,0,23.0,1,5.0,65.0
30371,78895,1,1.0,3,2255.0,20707.0
126787,75438,3,6.0,1,21.0,0.0
227393,212367,7,2.0,12,2.0,183.0
255614,68727,8,10.0,17,292.0,331.0
36702,209766,1,2.0,2,21.0,7.0
87616,35664,2,1.0,5,7.0,23.0
63602,125477,1,60.0,6,2206.0,13.0
214908,107072,7,1.0,10,2224.0,33519.0
87011,54650,2,1.0,1,32.0,178.0
23511,143808,0,61.0,11,1.0,88.0
33170,122928,1,1.0,5,33.0,451.0
122428,223218,2,22.0,1,9.0,6.0
163862,164322,5,25.0,8,3.0,4854.0
72557,10198,1,63.0,1,21.0,6.0
216229,107655,7,1.0,10,2224.0,75153.0
103389,46713,2,8.0,8,5.0,0.0
239858,164287,7,4.0,12,5.0,3696.0
32452,223035,1,1.0,5,23.0,23341.0
73709,88095,1,64.0,1,1.0,52.0
212751,39300,7,1.0,10,2224.0,3424.0
199020,144712,6,8.0,1,21.0,275.0
173599,25563,6,1.0,12,2800.0,42.0
147560,92581,5,5.0,1,2230.0,311.0
11301,24582,0,47.0,7,5.0,4.0
1142,78574,0,1.0,5,2009.0,0.0
125227,146666,3,2.0,6,3.0,408.0
194725,18267,6,6.0,5,2212.0,702.0
228620,115372,7,3.0,5,2200.0,426.0
6023,65421,0,41.0,1,11.0,2.0
46694,182541,1,25.0,1,13.0,107.0
245039,4469,8,10.0,16,148.0,4.0
67915,216046,1,60.0,16,1.0,48.0
115421,108314,2,12.0,14,1.0,62.0
235192,93835,7,4.0,10,29.0,12.0
76740,90949,1,65.0,3,2543.0,898.0
129186,125453,3,10.0,1,2403.0,2431.0
233447,106484,7,4.0,8,1.0,20.0
38823,90419,1,8.0,1,17.0,6.0
242502,111524,7,5.0,1,47.0,23.0
83411,6515,1,65.0,7,54.0,54.0
36368,180666,1,1.0,10,3.0,502769.0
220265,79876,7,1.0,10,29.0,864.0
125066,174091,3,1.0,7,7.0,2266.0
81785,88807,1,65.0,7,2404.0,165.0
185927,46060,6,5.0,1,2219.0,2671.0
240398,168779,7,4.0,14,2011.0,45.0
14111,151223,0,61.0,1,2018.0,613.0
123167,223184,2,23.0,2,18.0,1658.0
29044,25409,0,63.0,5,5.0,4.0
82658,12207,1,65.0,7,2601.0,421.0
70060,176159,1,61.0,3,19.0,8.0
137446,201651,4,6.0,1,2003.0,7084.0
259058,125808,8,10.0,17,74.0,19865.0
25041,108921,0,61.0,11,60.0,191.0
26350,192029,0,63.0,1,2069.0,402.0
139960,179223,5,1.0,3,5.0,225.0
24133,197305,0,61.0,11,2039.0,291.0
166369,7776,5,41.0,2,27.0,20.0
173469,142926,6,1.0,12,27.0,3273.0
89376,4868,2,3.0,1,5.0,173.0
15287,83265,0,61.0,1,5.0,341.0
47100,35922,1,25.0,3,2217.0,19.0
113731,122605,2,12.0,12,2770.0,16043.0
185087,53617,6,5.0,1,2219.0,23315.0
151023,186795,5,16.0,2,33.0,7836.0
220144,223415,7,1.0,10,29.0,7787.0
36318,199433,1,1.0,10,3.0,206.0
59779,66653,1,41.0,8,33.0,56.0
249497,11055,8,10.0,16,514.0,911.0
112121,90417,2,12.0,12,2710.0,62.0
78616,204629,1,65.0,3,83.0,72.0
86883,57847,2,1.0,1,25.0,37.0
19288,170518,0,61.0,5,9.0,81.0
176548,42120,6,1.0,16,7.0,38.0
44765,198816,1,23.0,9,35.0,277.0
163856,167477,5,25.0,8,3.0,4818.0
184760,55795,6,5.0,1,2219.0,21166.0
239534,118985,7,4.0,12,2201.0,3238.0
26511,187096,0,63.0,1,21.0,1627.0
135394,145040,4,5.0,1,2047.0,63.0
42206,2649,1,23.0,1,2260.0,4.0
194153,176492,6,6.0,5,21.0,6254.0
215460,5467,7,1.0,10,2224.0,4382.0
113119,82495,2,12.0,12,2760.0,34.0
40226,151357,1,21.0,3,53.0,745.0
175817,122351,6,1.0,16,1.0,72.0
64711,110914,1,60.0,8,5.0,14.0
66794,111808,1,60.0,14,2300.0,334.0
121661,150404,2,21.0,1,5.0,3.0
52773,104358,1,29.0,2,51.0,20.0
2710,9705,0,1.0,12,29.0,0.0
39387,20490,1,21.0,1,29.0,0.0
107142,174449,2,9.0,9,19.0,291.0
