dataset_id,artifact_file,task_type,target_column,model_type,status,error,accuracy,precision,recall,f1_score,test_samples,n_classes,is_binary,resolved_dataset_path,model_path,executed_tools,tool_flow,task,train_accuracy,test_accuracy,overfitting_gap,training_samples,features,model_saved,test_indices_file,train_r2,test_r2,rmse,mae,mse,r2_score,mape
classification__easy__abhishek14398_heart-disease-classification__heart,classification__easy__abhishek14398_heart-disease-classification__heart.json,classification,target,logistic,success,,0.8852,0.8788,0.9062,0.8923,61.0,2.0,True,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/abhishek14398_heart-disease-classification/heart.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/mistral_execution/models/classification__easy__abhishek14398_heart-disease-classification__heart.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,,
classification__easy__brsahan_genomic-data-for-cancer__gene_expression,classification__easy__brsahan_genomic-data-for-cancer__gene_expression.json,classification,Cancer Present,logistic,success,,,,,,600.0,2.0,,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/brsahan_genomic-data-for-cancer/gene_expression.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/mistral_execution/models/classification__easy__brsahan_genomic-data-for-cancer__gene_expression.pkl,4.0,"['1:load_csv', '1:validate_csv_structure', '1:detect_duplicates', '2:train_classification_model']",classification,0.8558,0.86,-0.0042,2400.0,"['Gene One', 'Gene Two']",/home/joshua/Code/ai_projects/amalia/data/batch_results/mistral_execution/models/classification__easy__brsahan_genomic-data-for-cancer__gene_expression.pkl,/home/joshua/Code/ai_projects/amalia/data/batch_results/mistral_execution/models/classification__easy__brsahan_genomic-data-for-cancer__gene_expression_test_indices.json,,,,,,,
classification__easy__fedesoriano_stellar-classification-dataset-sdss17__star_classification,classification__easy__fedesoriano_stellar-classification-dataset-sdss17__star_classification.json,classification,,,failed,get_column_info: Column 'None' not found,,,,,,,,,,,,,,,,,,,,,,,,,,
classification__easy__himanshunakrani_naive-bayes-classification-data__Naive-Bayes-Classification-Data,classification__easy__himanshunakrani_naive-bayes-classification-data__Naive-Bayes-Classification-Data.json,classification,diabetes,naive_bayes,success,,,,,,199.0,2.0,,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/himanshunakrani_naive-bayes-classification-data/Naive-Bayes-Classification-Data.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/mistral_execution/models/classification__easy__himanshunakrani_naive-bayes-classification-data__Naive-Bayes-Classification-Data.pkl,3.0,"['1:load_csv', '2:remove_duplicates', '3:train_classification_model']",classification,0.9322,0.9397,-0.0075,796.0,"['glucose', 'bloodpressure']",/home/joshua/Code/ai_projects/amalia/data/batch_results/mistral_execution/models/classification__easy__himanshunakrani_naive-bayes-classification-data__Naive-Bayes-Classification-Data.pkl,/home/joshua/Code/ai_projects/amalia/data/batch_results/mistral_execution/models/classification__easy__himanshunakrani_naive-bayes-classification-data__Naive-Bayes-Classification-Data_test_indices.json,,,,,,,
classification__easy__mahmoudshaheen1134_heart-disease-data__heart disease,classification__easy__mahmoudshaheen1134_heart-disease-data__heart disease.json,classification,target,logistic,success,,0.8678,0.8531,0.9173,0.8841,242.0,2.0,True,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/heart disease_train.csv,/home/joshua/Code/ai_projects/amalia/backend/models/heart_disease_model.pkl,5.0,"['1:load_csv', '2:validate_csv_structure', '3:split_dataset', '4:train_classification_model', '5:evaluate_classification_model']",,,,,,,,,,,,,,,
classification__easy__priyanshusethi_happiness-classification-dataset__happydata,classification__easy__priyanshusethi_happiness-classification-dataset__happydata.json,classification,,,failed,get_column_info: Column 'None' not found,,,,,,,,,,,,,,,,,,,,,,,,,,
classification__easy__ritwikb3_heart-disease-cleveland__Heart_disease_cleveland_new,classification__easy__ritwikb3_heart-disease-cleveland__Heart_disease_cleveland_new.json,classification,,,success,,,,,,,,,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/ritwikb3_heart-disease-cleveland/Heart_disease_cleveland_new.csv,,0.0,[],,,,,,,,,,,,,,,
classification__easy__ritwikb3_heart-disease-statlog__Heart_disease_statlog,classification__easy__ritwikb3_heart-disease-statlog__Heart_disease_statlog.json,classification,target,logistic,success,,0.9259,0.9474,0.8571,0.9,54.0,2.0,True,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/ritwikb3_heart-disease-statlog/Heart_disease_statlog.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/mistral_execution/models/classification__easy__ritwikb3_heart-disease-statlog__Heart_disease_statlog.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,,
classification__easy__robikscube_eye-state-classification-eeg-dataset__EEG_Eye_State_Classification,classification__easy__robikscube_eye-state-classification-eeg-dataset__EEG_Eye_State_Classification.json,classification,eyeDetection,logistic,success,,0.6272,0.6484,0.4539,0.534,2996.0,2.0,True,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/robikscube_eye-state-classification-eeg-dataset/EEG_Eye_State_Classification.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/mistral_execution/models/classification__easy__robikscube_eye-state-classification-eeg-dataset__EEG_Eye_State_Classification.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,,
classification__easy__uciml_glass__glass,classification__easy__uciml_glass__glass.json,classification,Type,logistic,success,,0.6977,0.6249,0.6977,0.6453,43.0,6.0,False,/home/joshua/Code/ai_projects/amalia/backend/data/uploads/datasets/classification/easy/uciml_glass/glass.csv,/home/joshua/Code/ai_projects/amalia/data/batch_results/mistral_execution/models/classification__easy__uciml_glass__glass.pkl,3.0,"['1:load_csv', '2:train_classification_model', '3:evaluate_classification_model']",,,,,,,,,,,,,,,
